name,player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,hr_vs_R,hr_vs_L,barrel_vs_R,barrel_vs_L,recent_hr_rate_vs_R,recent_hr_rate_vs_L,recent_barrel_rate_vs_R,recent_barrel_rate_vs_L,stand,team
Luis Campusano,0.0513,0.0625,0.0476,0.0,0.0625,0.0,0.0698,0.0,0.05,0.0,0.0,0.0,R,San Diego Padres
Jurickson Profar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,San Diego Padres
Luis Rengifo,0.0,0.0459,0.0,0.0667,0.0,0.0,0.0635,0.0217,0.0,0.0,0.0769,0.0526,S,Los Angeles Angels
Isaac Paredes,0.0222,0.0221,0.0385,0.0247,0.0328,0.0,0.022,0.0222,0.0476,0.0,0.0312,0.0,R,Tampa Bay Rays
Jonathan India,0.0345,0.0317,0.0,0.0,0.0286,0.0435,0.0256,0.0417,0.0,0.0,0.0,0.0,R,Cincinnati Reds
Alec Bohm,0.0099,0.0084,0.0,0.0167,0.0149,0.0,0.013,0.0,0.0,0.0,0.0263,0.0,R,Philadelphia Phillies
Bryson Stott,0.0,0.043,0.0,0.025,0.0,0.0,0.037,0.0833,0.0,0.0,0.0286,0.0,L,Philadelphia Phillies
Trea Turner,0.0259,0.028,0.0526,0.0429,0.0267,0.0244,0.0319,0.0204,0.0571,0.0455,0.0444,0.04,R,Philadelphia Phillies
Max Kepler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,Minnesota Twins
Carlos Correa,0.0096,0.0272,0.0,0.0125,0.0,0.0323,0.0294,0.0222,0.0,0.0,0.0167,0.0,R,Minnesota Twins
Royce Lewis,0.0526,0.0877,0.0833,0.0833,0.0811,0.0,0.1143,0.0455,0.0833,0.0,0.0833,0.0,R,Minnesota Twins
Matt Chapman,0.0095,0.0083,0.0,0.0,0.0133,0.0,0.0122,0.0,0.0,0.0,0.0,0.0,R,San Francisco Giants
Heliot Ramos,0.0217,0.0438,0.0465,0.0923,0.0145,0.0435,0.0294,0.0857,0.0312,0.0909,0.0667,0.15,R,San Francisco Giants
